request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_183,21712058.14,not_affordable,not_recommended,none,2026-06-15,none,"Do not make this payment by 18 June 2026. None of the available options keeps the IDR 11,878,300 minimum protected."
request_184,2771.69,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900 request. Although INR 2,771.69 is available today, the full amount cannot be completed safely within 90 days."
request_185,407.31,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.30 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum."
request_186,12067.34,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 26,554 request. Although ZAR 12,067.34 is available today, the full amount cannot be completed safely within 90 days."
request_187,37569.51,affordable_later,wait,2024-09-15:187500,2024-09-15,none,"Pay INR 187,500 in full on 15 September 2024. Paying earlier would take the balance below the INR 128,300 minimum."
request_188,152.01,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,464 request. Although EUR 152.01 is available today, the full amount cannot be completed safely within 90 days."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,618.88,affordable_later,wait,2024-12-15:2557.50,2024-12-15,none,"Pay EUR 2,557.50 in full on 15 December 2024. Paying earlier would take the balance below the EUR 1,600 minimum."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,291.07,affordable_later,wait,2026-05-08:2046,2026-05-08,none,"Pay USD 2,046 in full on 8 May 2026. Paying earlier would take the balance below the USD 1,000 minimum."
request_193,31.09,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1,000 available."
request_194,34195.92,affordable_later,wait,2025-08-23:132800,2025-08-23,none,"Pay INR 132,800 in full on 23 August 2025. Paying earlier would take the balance below the INR 113,600 minimum."
request_195,970,not_affordable,not_recommended,none,2026-03-15,none,Do not make this payment by 11 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Use 3 installments of IDR 17,658,853.33, starting 19 November 2025. This leaves at least IDR 26,245,900 available."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 7 September 2024. This leaves at least IDR 25,359,500 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,23460720.54,affordable_with_plan,full_payment,2026-04-03:23997000,,stop:event_18493,"Stop the streaming subscription, then pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 1,400 available."
request_204,499.28,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Pay EUR 588.74 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,7090.96,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,3069307.55,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Pay IDR 4,413,000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 10,470,700 minimum."
request_209,1760.85,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56,914 request. Although ZAR 1,760.85 is available today, the full amount cannot be completed safely within 90 days."
request_210,839.98,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-15,none,"Use 3 installments of USD 471.48, starting 6 April 2026. This leaves at least USD 2,000 available."
request_211,356.3,affordable_later,wait,2024-09-15:1788.60,2024-09-15,none,"Pay EUR 1,788.60 in full on 15 September 2024. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,6275648.6,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71,934,000 request. Although IDR 6,275,648.60 is available today, the full amount cannot be completed safely within 90 days."
request_213,2484.81,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,362.40 request. Although USD 2,484.81 is available today, the full amount cannot be completed safely within 90 days."
request_214,49909.88,affordable_with_plan,partial_payment,2024-12-04:49909.88|2024-12-15:19840.12,2024-12-15,none,"Pay INR 49,909.88 today and the remaining INR 19,840.12 on 15 December 2024. This completes the full request and keeps the INR 174,900 minimum protected."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting 9 May 2025. This leaves at least ZAR 15,700 available."
request_216,489.88,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Pay USD 3,332.40 in full on 15 September 2026. Paying earlier would take the balance below the USD 1,800 minimum."
request_217,19470.25,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Use 3 installments of ZAR 12,889.07, starting 19 March 2024. This leaves at least ZAR 26,800 available."
request_218,27169968.88,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,"Use 3 installments of IDR 21,195,893.33, starting 7 August 2025. This leaves at least IDR 34,477,200 available."
request_219,1354,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026. This leaves at least EUR 1,100 available."
request_220,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,118.50 request. Although EUR 0 is available today, the full amount cannot be completed safely within 90 days."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,9771031.82,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-15,none,"Use 2 installments of IDR 5,370,040, starting 4 February 2025. This leaves at least IDR 22,187,600 available."
request_225,10898473.22,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7,647,120, starting 20 July 2026. This leaves at least IDR 17,670,700 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. This leaves at least INR 209,400 available over the next 90 days."
request_227,17282.99,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259,700 request. Although INR 17,282.99 is available today, the full amount cannot be completed safely within 90 days."
request_228,4162430.37,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63,327,000 request. Although IDR 4,162,430.37 is available today, the full amount cannot be completed safely within 90 days."
request_229,435.58,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1,000 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,31941.65,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,"Use 3 installments of ZAR 12,378.08, starting 6 January 2026. This leaves at least ZAR 24,300 available."
request_232,833.92,affordable_later,wait,2024-06-15:1970.10,2024-06-15,none,"Pay EUR 1,970.10 in full on 15 June 2024. Paying earlier would take the balance below the EUR 2,400 minimum."
request_233,3769568.74,affordable_with_plan,installments,2025-11-14:3245320|2025-12-15:3245320,2025-11-15,none,"Use 2 installments of IDR 3,245,320, starting 14 November 2025. This leaves at least IDR 10,365,700 available."
request_234,226.51,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Pay EUR 1,213.30 in full on 15 September 2026. Paying earlier would take the balance below the EUR 700 minimum."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,5842702.56,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,383,000 request. Although IDR 5,842,702.56 is available today, the full amount cannot be completed safely within 90 days."
request_237,22361582.16,affordable_with_plan,full_payment,2026-04-05:23826000,,reduce_to:event_21813:548720,"Reduce the clothing and household items to IDR 548,720, then pay IDR 23,826,000 today. This leaves at least IDR 22,431,500 available."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This leaves at least USD 700 available."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,11634.57,affordable_with_plan,partial_payment,2026-01-06:11634.57|2026-03-15:89565.43,2026-03-15,none,"Pay INR 11,634.57 today and the remaining INR 89,565.43 on 15 March 2026. This completes the full request and keeps the INR 52,800 minimum protected."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 17 March 2024. This leaves at least IDR 19,252,000 available."
request_242,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,966.80 request. Although EUR 0 is available today, the full amount cannot be completed safely within 90 days."
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,34649.41,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Pay INR 128,500 in full on 15 January 2026. Paying earlier would take the balance below the INR 94,600 minimum."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 3 April 2026. This leaves at least ZAR 39,300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,1184.24,not_affordable,not_recommended,none,2025-02-11,none,"Do not make this payment by 28 April 2025. None of the available options keeps the USD 1,300 minimum protected."
request_249,142.19,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 643.20 request. Although USD 142.19 is available today, the full amount cannot be completed safely within 90 days."
request_250,15659.46,not_affordable,not_recommended,none,2025-02-15,none,"Do not make this payment by 18 January 2025. None of the available options keeps the ZAR 35,300 minimum protected."
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,"Do not make this payment by 6 June 2025. None of the available options keeps the EUR 1,300 minimum protected."
request_252,3703641.3,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Pay IDR 28,082,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 15,152,200 minimum."
request_253,1368.91,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 21 March 2024. This leaves at least EUR 2,300 available."
request_254,880.65,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Pay USD 3,535.20 in full on 15 October 2025. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,812393.83,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 3,345,000 request. Although IDR 812,393.83 is available today, the full amount cannot be completed safely within 90 days."
request_256,152022.61,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,"Use 3 installments of INR 75,816, starting 10 June 2024. This leaves at least INR 168,600 available."
request_257,419.07,affordable_later,wait,2025-11-15:1352.40,2025-11-15,none,"Pay USD 1,352.40 in full on 15 November 2025. Paying earlier would take the balance below the USD 1,600 minimum."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500 available over the next 90 days."
request_259,447.63,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 in full on 15 November 2024. Paying earlier would take the balance below the EUR 600 minimum.
request_260,7093940.95,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,079,000 request. Although IDR 7,093,940.95 is available today, the full amount cannot be completed safely within 90 days."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000 today. This leaves at least IDR 31,018,500 available over the next 90 days."
request_263,5002.76,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,546 request. Although ZAR 5,002.76 is available today, the full amount cannot be completed safely within 90 days."
request_264,17540.32,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Pay INR 111,300 in full on 15 June 2026. Paying earlier would take the balance below the INR 59,500 minimum."
request_265,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 45,970 request. Although INR 0 is available today, the full amount cannot be completed safely within 90 days."
request_266,935,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments of EUR 324.13, starting 3 August 2025. This leaves at least EUR 900 available."
request_267,1626.19,not_affordable,not_recommended,none,2026-03-15,none,"Do not make this payment by 17 March 2026. None of the available options keeps the EUR 1,500 minimum protected."
request_268,1044.51,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This leaves at least EUR 1,400 available."
request_269,9782.78,affordable_later,wait,2025-11-15:15490,2025-11-15,none,"Pay ZAR 15,490 in full on 15 November 2025. Paying earlier would take the balance below the ZAR 23,100 minimum."
request_270,96.23,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,028.80 request. Although USD 96.23 is available today, the full amount cannot be completed safely within 90 days."
request_271,11251.71,affordable_later,wait,2024-11-20:91300,2024-11-20,none,"Pay INR 91,300 in full on 20 November 2024. Paying earlier would take the balance below the INR 58,200 minimum."
request_272,5983420.11,not_affordable,not_recommended,none,2025-04-15,none,"Do not make this payment by 10 April 2025. None of the available options keeps the IDR 7,508,600 minimum protected."
request_273,9498254.8,affordable_with_plan,partial_payment,2026-04-07:9498254.80|2026-04-15:6362745.20,2026-04-15,none,"Pay IDR 9,498,254.80 today and the remaining IDR 6,362,745.20 on 15 April 2026. This completes the full request and keeps the IDR 18,774,600 minimum protected."
request_274,2155.4,not_affordable,not_recommended,none,2025-02-15,none,"Do not make this payment by 11 February 2025. None of the available options keeps the EUR 1,800 minimum protected."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
